LocationID,SessionID,GroupID,RecordID,Language,Lockdown,start_time,end_time,latitude,longitude,Traffic,Other,Human,Natural,ISOPleasan,ISOEventfu,pleasant,chaotic,vibrant,uneventful,calm,annoying,eventful,monotonous,Overall,Appropriat,loud,sss04,sss05,who01,who02,who03,who04,who05,WHO_Sum,Age,Gender,occ00___Em,occ00___Un,occ00___Re,occ00___St,occ00___Ot,occ00___Ra,occ00_othe,Occupation,edu00,eth00,eth00_othe,misc00,misc03,misc03_oth,misc04,misc01,use00,uni00,res00___1,res00___2,res00___3,res00___4,res00___5,res02,paper,RecordingL,Loudness_N,N10_N90(so,Sharpness_,Rough_HM_R,Rough_HM_A,"FS_Avg,ari","I_HM_Avg,a",Ton_HM_Avg,LZeq_L(dB(,LAeq_L(A)(,LA10_LA90(,LCeq_LAeq(,LC10_LC90(,RA_2D_cp(c,PA(Zwicker,fid,NoiseClass,NoiseCla_1,OBJECTID,ID,A_pred,A_prob,B_pred,B_prob,PARKSDISTAN,fountainsvi,roadnoiseco,treesvisibi,vi20mbigger,DISTANCE,SVF,VISIBLE
CamdenTown,CamdenTown1,CT113,535,English,0,2-5-2019 12:57,2-5-2019 13:06,51.5391240000,-0.1426240000,4,1,3,2,0.2197000000,0.3232000000,4,2,5,4,2,4,5,2,3,3,3,1,3,5,5,5,5,5,100,49,Female,1,0,0,0,0,0,,Employed,7,1,,,,,,,1,2,1,1,0,0,0,,0,20.6400000000,30.5000000000,9.8000000000,2.3600000000,0.0390000000,0.0390000000,0.0059700000,0.3750000000,0.5380000000,81.7200000000,69.2000000000,5.1900000000,11.0800000000,7.6700000000,13.9000000000,37.9894336600,214299.0000000000,>=75.0,1,3572868,10177826,Built-up Areas and Gardens,0.0000000000,,0.0000000000,-200.0000000000,0.0000000000,85.0000000000,1.0000000000,0.9697070200,62.66501947,0.93002162,86.55507211
CamdenTown,CamdenTown1,CT114,536,English,0,2-5-2019 13:02,2-5-2019 13:07,51.5391240000,-0.1426240000,4,3,3,1,-0.1768000000,0.7803000000,2,4,4,1,1,3,5,2,3,4,3,5,3,3,0,3,0,3,36,42,Female,1,0,0,0,0,0,,Employed,7,1,,,,,,,4,1,1,1,0,0,0,,0,25.0000000000,25.2000000000,7.4000000000,1.9400000000,0.0360000000,0.0360000000,0.0093800000,0.3930000000,0.1650000000,77.4100000000,66.0400000000,6.0500000000,8.1000000000,6.6600000000,13.6000000000,27.0904358700,214299.0000000000,>=75.0,1,3572868,10177826,Built-up Areas and Gardens,0.0000000000,,0.0000000000,-200.0000000000,0.0000000000,85.0000000000,1.0000000000,0.9697070200,62.66501947,0.93002162,86.55507211
CamdenTown,CamdenTown1,CT115,537,English,0,2-5-2019 13:09,2-5-2019 13:13,51.5391240000,-0.1426240000,4,4,3,2,-0.1036000000,0.5607000000,3,4,5,1,3,4,5,4,3,1,2,3,4,5,4,2,4,5,80,26,Female,1,0,0,0,0,0,,Employed,5,3,,,,,,,1,2,1,1,0,0,0,Motor pass,0,,,,,,,,,,,,,,,,,214299.0000000000,>=75.0,1,3572868,10177826,Built-up Areas and Gardens,0.0000000000,,0.0000000000,-200.0000000000,0.0000000000,85.0000000000,1.0000000000,0.9697070200,62.66501947,0.93002162,86.55507211
CamdenTown,CamdenTown1,CT115,551,English,0,2-5-2019 13:09,2-5-2019 13:13,51.5391240000,-0.1426240000,4,3,4,2,-0.3232000000,0.3232000000,2,5,4,3,2,3,4,4,3,3,4,3,3,4,4,4,4,4,80,25,Female,1,0,0,0,0,0,,Employed,5,4,,,2,,,,1,2,1,1,0,0,0,Motor passed.,1,,,,,,,,,,,,,,,,,214299.0000000000,>=75.0,1,3572868,10177826,Built-up Areas and Gardens,0.0000000000,,0.0000000000,-200.0000000000,0.0000000000,85.0000000000,1.0000000000,0.9697070200,62.66501947,0.93002162,86.55507211
CamdenTown,CamdenTown1,CT116,550,English,0,2-5-2019 13:20,2-5-2019 13:23,51.5391240000,-0.1426240000,2,1,2,2,-0.3964000000,0.0000000000,3,4,1,4,2,4,4,3,3,4,3,5,3,1,4,3,4,4,64,38,Male,1,0,0,0,0,0,,Employed,5,4,,,1,,,,1,2,1,1,0,0,0,,1,33.7100000000,39.9000000000,13.7000000000,2.1400000000,0.0533000000,0.0533000000,0.0147000000,0.3610000000,0.2860000000,78.8300000000,71.3600000000,8.5500000000,6.6200000000,7.0500000000,14.0000000000,46.5488968300,214299.0000000000,>=75.0,1,3572868,10177826,Built-up Areas and Gardens,0.0000000000,,0.0000000000,-200.0000000000,0.0000000000,85.0000000000,1.0000000000,0.9697070200,62.66501947,0.93002162,86.55507211
CamdenTown,CamdenTown1,CT116,538,English,0,2-5-2019 13:20,2-5-2019 13:23,51.5391240000,-0.1426240000,4,4,2,1,-0.1464000000,0.5607000000,2,4,3,1,2,2,5,3,3,2,3,5,2,5,3,3,1,5,68,60,Male,1,0,0,0,0,0,,Employed,5,1,,,,,,Ambulances are far too loud,1,2,1,1,0,0,0,,0,33.7100000000,39.9000000000,13.7000000000,2.1400000000,0.0533000000,0.0533000000,0.0147000000,0.3610000000,0.2860000000,78.8300000000,71.3600000000,8.5500000000,6.6200000000,7.0500000000,14.0000000000,46.5488968300,214299.0000000000,>=75.0,1,3572868,10177826,Built-up Areas and Gardens,0.0000000000,,0.0000000000,-200.0000000000,0.0000000000,85.0000000000,1.0000000000,0.9697070200,62.66501947,0.93002162,86.55507211
CamdenTown,CamdenTown1,CT117,539,English,0,2-5-2019 13:09,2-5-2019 13:24,51.5391240000,-0.1426240000,4,4,3,2,0.0000000000,0.5429000000,2,4,4,3,1,2,4,1,4,4,4,1,4,4,4,4,4,5,84,21,Female,0,0,0,1,0,0,,Student,5,2,,,,,,Lively,4,2,1,1,0,0,0,,0,32.6800000000,32.2000000000,13.1000000000,2.0800000000,0.0406000000,0.0406000000,0.0129000000,0.3630000000,0.2980000000,80.6100000000,69.6100000000,8.2000000000,9.5600000000,8.6600000000,14.3000000000,36.5484566000,214299.0000000000,>=75.0,1,3572868,10177826,Built-up Areas and Gardens,0.0000000000,,0.0000000000,-200.0000000000,0.0000000000,85.0000000000,1.0000000000,0.9697070200,62.66501947,0.93002162,86.55507211
CamdenTown,CamdenTown1,CT117,549,English,0,2-5-2019 13:09,2-5-2019 13:24,51.5391240000,-0.1426240000,3,4,5,1,-0.4571000000,0.3536000000,1,3,4,1,1,4,3,4,3,2,3,3,3,4,3,4,2,3,64,21,Female,0,0,0,1,0,0,,Student,5,1,,,3,,,,4,2,1,1,0,0,0,,1,32.6800000000,32.2000000000,13.1000000000,2.0800000000,0.0406000000,0.0406000000,0.0129000000,0.3630000000,0.2980000000,80.6100000000,69.6100000000,8.2000000000,9.5600000000,8.6600000000,14.3000000000,36.5484566000,214299.0000000000,>=75.0,1,3572868,10177826,Built-up Areas and Gardens,0.0000000000,,0.0000000000,-200.0000000000,0.0000000000,85.0000000000,1.0000000000,0.9697070200,62.66501947,0.93002162,86.55507211
CamdenTown,CamdenTown1,CT118,548,English,0,2-5-2019 13:26,2-5-2019 13:32,51.5391240000,-0.1426240000,3,2,3,1,0.1642000000,0.1036000000,5,4,4,4,3,2,5,5,4,3,3,1,3,5,5,4,5,5,96,26,Male,0,0,0,0,1,0,Flight Attendant,Other,5,5,,,2,,,,1,2,1,1,0,0,0,,1,,,,,,,,,,,,,,,,,214299.0000000000,>=75.0,1,3572868,10177826,Built-up Areas and Gardens,0.0000000000,,0.0000000000,-200.0000000000,0.0000000000,85.0000000000,1.0000000000,0.9697070200,62.66501947,0.93002162,86.55507211
CamdenTown,CamdenTown1,CT118,540,English,0,2-5-2019 13:26,2-5-2019 13:32,51.5391240000,-0.1426240000,3,2,4,1,0.1036000000,-0.1464000000,3,2,2,3,3,2,3,3,3,2,4,1,3,2,1,4,3,3,52,24,Male,1,0,0,0,0,0,,Employed,3,5,,,,,,,1,2,1,1,0,0,0,,0,,,,,,,,,,,,,,,,,214299.0000000000,>=75.0,1,3572868,10177826,Built-up Areas and Gardens,0.0000000000,,0.0000000000,-200.0000000000,0.0000000000,85.0000000000,1.0000000000,0.9697070200,62.66501947,0.93002162,86.55507211
